"";"Observation.No";"Observed.y";"Predicted.y"
"1987";1936;3;1
"2993";2914;1;1
"3009";2930;3;1
"2828";2751;3;3
"3031";2951;2;1
"1626";1589;1;1
"1864";1816;2;1
"1552";1517;1;1
"593";584;2;1
"2192";2134;3;3
"952";929;1;3
"1489";1455;2;1
"488";483;2;1
"1513";1479;3;1
"2034";1980;1;1
"2245";2186;3;3
"1069";1043;3;1
"26";26;3;1
"2247";2188;2;3
"256";254;2;3
"389";385;1;1
"588";579;1;1
"1623";1586;1;3
"1926";1876;1;1
"2684";2609;1;3
"2789";2713;1;1
"821";802;1;1
"1293";1261;3;1
"1697";1657;2;1
"2599";2525;3;1
"1574";1539;2;1
"959";936;3;3
"1091";1062;3;1
"1197";1167;3;3
"3089";3008;1;1
"179";178;3;1
"2852";2774;1;3
"1628";1591;2;3
"2344";2279;2;1
"2263";2204;3;1
"2445";2376;3;3
"532";524;3;3
"2266";2207;2;1
"713";701;1;3
"486";481;1;1
"643";631;1;1
"1913";1864;1;1
"267";265;1;3
"217";216;3;3
"587";578;3;1
"1166";1136;3;3
"748";733;3;1
"1888";1839;1;1
"2317";2253;3;1
"1418";1384;1;1
"2253";2194;1;1
"1723";1682;3;1
"2692";2617;3;1
"1324";1291;1;1
"1507";1473;1;1
"3132";3051;3;1
"2544";2471;1;1
"866";844;1;1
"1078";1051;2;1
"370";366;3;1
"990";967;2;1
"1608";1572;1;1
"2874";2796;1;1
"1339";1306;1;1
"822";803;1;1
"2076";2021;1;1
"2471";2401;1;1
"23";23;1;1
"1211";1181;2;1
"237";236;3;3
"899";876;3;1
"843";822;1;1
"1958";1907;3;1
"3136";3055;3;3
"214";213;3;3
"1775";1733;1;1
"3134";3053;3;1
"592";583;1;1
"1792";1748;3;1
"1540";1505;3;3
"566";557;1;1
"2917";2839;3;1
"741";726;2;1
"1046";1020;1;1
"2774";2698;3;3
"1154";1124;3;1
"1800";1756;2;1
"2750";2674;2;1
"2819";2742;3;1
"1458";1424;2;1
"2438";2369;3;1
"1922";1873;2;1
"934";911;3;1
"39";39;3;3
"2808";2731;3;1
"2156";2100;1;1
"2368";2302;3;1
"2037";1983;1;3
"210";209;3;3
"171";170;3;3
"2775";2699;1;1
"3046";2966;3;1
"1886";1837;1;3
"2881";2803;1;1
"2526";2453;1;1
"2537";2464;1;1
"1521";1487;2;3
"856";834;2;1
"1497";1463;3;3
"3077";2997;2;1
"2904";2826;3;1
"2717";2641;1;1
"2847";2770;2;1
"2264";2205;1;3
"1992";1941;3;1
"630";620;1;1
"2483";2412;2;1
"1887";1838;3;1
"497";491;1;3
"1731";1690;1;1
"1407";1373;1;1
"2727";2651;1;1
"1064";1038;1;3
"834";814;3;3
"2865";2787;3;1
"2105";2050;2;1
"734";720;1;3
"1143";1113;1;3
"935";912;3;3
"1000";977;3;1
"1512";1478;2;1
"965";942;2;1
"2139";2084;1;3
"567";558;1;1
"92";92;3;3
"2278";2219;3;3
"1231";1200;2;1
"2607";2533;2;3
"1759";1717;3;1
"2529";2456;1;3
"998";975;2;1
"40";40;3;1
"1482";1448;3;1
"1307";1275;1;1
"2426";2357;3;3
"2482";2411;1;1
"51";51;1;3
"2475";2404;1;1
"600";591;2;1
"2632";2558;3;1
"2361";2295;3;1
"1703";1663;1;1
"1272";1240;1;1
"2900";2822;1;1
"601";592;3;1
"1531";1496;1;1
"218";217;3;3
"2375";2309;1;3
"617";607;3;3
"144";144;3;3
"1850";1802;3;3
"1943";1892;2;1
"1477";1443;1;3
"3131";3050;3;1
"134";134;2;1
"2589";2515;3;1
"2096";2041;2;1
"1973";1922;2;1
"1396";1363;3;1
"1841";1794;3;1
"2960";2881;2;1
"48";48;2;1
"2525";2452;1;1
"2704";2628;1;1
"1675";1636;2;1
"1127";1097;3;3
"2941";2862;3;1
"694";682;2;1
"2687";2612;1;1
"2220";2161;3;1
"595";586;1;1
"2186";2128;1;3
"947";924;3;1
"1354";1321;1;1
"987";964;1;3
"1131";1101;3;3
"2292";2232;1;1
"2588";2514;1;3
"2469";2399;3;1
"751";736;3;1
"1504";1470;3;1
"589";580;2;1
"750";735;3;3
"365";361;3;3
"1288";1256;2;1
"946";923;2;1
"1252";1221;1;3
"291";289;1;1
"1270";1238;1;1
"2581";2507;3;1
"1730";1689;1;1
"701";689;1;1
"1615";1579;3;3
"1074";1047;1;1
"146";145;3;3
"1508";1474;2;3
"1473";1439;2;3
"306";304;1;1
"1096";1067;2;1
"845";824;3;1
"1487";1453;2;1
"212";211;3;3
"1312";1279;3;3
"3010";2931;2;1
"371";367;1;1
"2415";2348;2;1
"2401";2334;1;1
"686";674;1;1
"2652";2578;1;1
"880";858;1;1
"3044";2964;1;1
"10";10;2;3
"1682";1643;1;1
"1917";1868;1;1
"2180";2123;1;1
"2213";2154;1;1
"1098";1069;2;1
"379";375;1;3
"1847";1800;2;1
"2743";2667;1;1
"2605";2531;1;1
"116";116;1;1
"112";112;1;1
"318";316;2;3
"1688";1649;1;3
"2206";2147;1;1
"763";748;1;3
"3006";2927;1;3
"418";414;1;1
"1713";1673;3;1
"1686";1647;3;1
"3137";3056;3;1
"2797";2721;3;3
"2675";2601;3;1
"985";962;2;1
"1434";1400;1;1
"819";800;1;1
"534";526;3;1
"1640";1603;2;1
"517";509;3;1
"2574";2500;3;1
"1451";1417;1;1
"1276";1244;1;1
"3037";2957;3;1
"928";905;3;3
"2480";2409;1;1
"1802";1758;3;1
"159";158;1;1
"2740";2664;3;1
"1840";1793;3;1
"2414";2347;1;3
"1466";1432;3;3
"2688";2613;3;3
"1925";1875;1;1
"14";14;2;1
"3025";2946;2;1
"2500";2428;3;1
"78";78;1;1
"2802";2725;3;3
"1543";1508;3;3
"669";657;1;1
"2586";2512;1;1
"1034";1008;2;3
"2120";2065;3;1
"240";239;2;1
"3108";3027;1;1
"67";67;1;1
"321";319;3;1
"1024";999;1;1
"2412";2345;3;1
"840";819;1;1
"580";571;3;1
"158";157;2;1
"1989";1938;2;3
"300";298;2;1
