"";"Observation.No";"Observed.y";"Predicted.y"
"230";568;0;1
"2706";1216;1;1
"2825";1659;1;1
"1997";1293;0;1
"1564";2186;0;1
"317";1250;1;1
"1912";1746;0;1
"3069";1411;1;1
"1201";2009;0;1
"99";401;0;1
"1941";1843;1;1
"245";2013;1;1
"2268";2318;1;1
"2686";492;0;1
"2356";670;0;1
"2679";1951;1;1
"366";924;1;1
"2743";1597;1;1
"1943";1394;0;1
"999";243;1;1
"3038";1248;1;1
"545";73;1;1
"2778";1025;0;1
"129";1116;1;1
"2273";1721;0;1
"1540";224;0;1
"775";1834;0;1
"617";751;0;1
"394";2072;0;1
"2932";1010;1;1
"2073";154;0;1
"1329";2359;0;1
"2252";2268;0;1
"1121";220;0;1
"137";2292;0;1
"1731";349;1;1
"1651";2109;1;1
"1821";354;0;1
"40";384;0;1
"2525";1592;0;1
"531";938;1;1
"995";163;0;1
"292";708;1;1
"511";1386;0;1
"1384";572;0;1
"1313";908;0;1
"847";461;1;1
"835";1678;0;1
"156";1120;0;1
"487";861;0;1
"1025";625;0;1
"2917";1151;0;1
"2061";822;0;1
"2829";956;1;1
"314";710;0;1
"1549";2316;1;1
"1302";2350;0;1
"2301";1043;0;1
"2335";1617;0;1
"2057";1311;0;1
"453";532;0;1
"408";1382;1;1
"1434";1122;1;1
"365";1241;1;1
"1715";1061;1;1
"1278";1155;0;1
"172";2296;0;1
"2532";367;0;1
"2834";2209;1;1
"1809";1720;1;1
"1037";2312;0;1
"2291";1724;0;1
"488";862;0;1
"1859";1561;1;1
"816";1126;1;1
"1746";1644;0;1
"665";306;0;1
"1974";66;1;1
"1371";27;1;1
"3123";920;1;1
"2552";1651;1;1
"1216";728;1;1
"76";2064;1;1
"1139";1487;0;1
"1786";231;1;1
"191";1543;0;1
"1171";465;1;1
"2970";547;0;1
"2072";1077;0;1
"1766";230;1;1
"2439";830;0;1
"548";1700;1;1
"2824";1658;1;1
"1842";2256;0;1
"979";1171;1;1
"2307";2203;1;1
"561";775;1;1
"2003";1076;0;1
"270";1240;0;1
"1730";348;0;1
"1830";263;0;1
"653";212;0;1
"3074";1249;1;1
"894";292;0;1
"670";2118;0;1
"2371";524;0;1
"1835";268;1;1
"484";189;0;1
"118";1535;0;1
"1808";1719;1;1
"2612";2086;1;1
"148";1224;1;1
"1193";752;1;1
"2665";869;0;1
"1191";1334;0;1
"536";1755;1;1
"1280";539;0;1
"2249";1827;1;1
